id,name,image,gender,birth_date,given_name,identifier__IMDB,identifier__MusicBrainz,identifier__EuroparlMEP,identifier__VIAF,identifier__LCAuth,identifier__GND,identifier__discogs,name__et,name__en,identifier__freebase,wikipedia__et,wikipedia__en,identifier__ISNI,twitter,name__pt,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pl,name__ru,name__fr,name__be,name__es,name__ro,name__ca,name__oc,name__fi,name__uk,name__lv,name__it,name__be_tarask,name__de,name__cs,name__io,name__lt,name__nl,name__sk,name__sl,name__da,name__hr,name__la,name__sv,name__zh,name__nb,name__nn,name__fa,name__ka,name__tr,wikipedia__be_x_old,wikipedia__be,wikipedia__ca,wikipedia__commons,wikipedia__cs,wikipedia__da,wikipedia__de,wikipedia__es,wikipedia__etwikiquote,wikipedia__fa,wikipedia__fi,wikipedia__fr,wikipedia__io,wikipedia__it,wikipedia__ka,wikipedia__lt,wikipedia__lv,wikipedia__nl,wikipedia__no,wikipedia__oc,wikipedia__pl,wikipedia__pt,wikipedia__ro,wikipedia__ru,wikipedia__tr,wikipedia__uk,wikipedia__ukwikiquote,wikipedia__zh,wikipedia__la,name__is,wikipedia__is,name__ja,wikipedia__ja,name__en_ca,name__en_gb,wikipedia__sv,name__ie,wikipedia__ie,name__id,wikipedia__id,wikipedia__plwikiquote,name__bar,name__af,name__an,name__ast,name__br,name__bs,name__co,name__cy,name__eo,name__eu,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hu,name__lb,name__li,name__lij,name__lmo,name__nap,name__nds,name__nds_nl,name__pcd,name__pms,name__rm,name__sc,name__scn,name__sco,name__sq,name__vec,name__vls,name__wa,identifier__SUDOC,name__ko,name__fo,wikipedia__ko,wikipedia__nn,wikipedia__sco,identifier__Munzinger,name__bg,wikipedia__bg,name__he,name__az,name__de_ch,name__el,name__vi,name__ar,name__ta,name__mk,wikipedia__ar,wikipedia__ast,wikipedia__az,wikipedia__el,wikipedia__he,wikipedia__lb,wikipedia__ruwikinews,wikipedia__ta,wikipedia__vi,identifier__parlement,website,original_wikiname,identifier__allmovie,name__mn,name__vro,wikipedia__fiu_vro,wikipedia__mn,identifier__IIAF,name__hy,wikipedia__hy,identifier__BNF,wikipedia__enwikiquote,wikipedia__hu,wikipedia__liwikiquote,death_date,name__yo,name__sr,name__se,name__pt_br,wikipedia__eo,wikipedia__eu,wikipedia__fiwikiquote,wikipedia__ga,wikipedia__gl,wikipedia__se,wikipedia__simple,wikipedia__sl,wikipedia__sr,wikipedia__yo,identifier__NNDB,identifier__GTAA,identifier__NTA,identifier__FAST,identifier__SFDb,name__de_at,last_seen,identifier__AlloCine,identifier__elonet,identifier__kinopoisk,identifier__CSFD,identifier__DNF,identifier__PORT,identifier__senate_nl,identifier__PACE,wikipedia__tpi,wikipedia__hsb,name__hsb,name__tpi,name__bm,name__frc,name__frp,name__ia,name__jam,name__kab,name__kg,name__mg,name__min,name__ms,name__nrm,name__pap,name__prg,name__rgn,name__sr_el,name__sw,name__vmf,name__vo,name__wo,name__zu,identifier__etis_ee,family_name,identifier__google_knowledge,occupation,identifier__snac,name__tt,name__ba,wikipedia__myv,wikipedia__af,identifier__ioc_athlete,name__sje,name__sma,name__smj,facebook,wikipedia__azwikiquote,identifier__Britannica,name__nys,identifier__NUKAT,identifier__BIBSYS,identifier__SELIBR,married_name,identifier__LNB,instagram,identifier__riigikogu,name__lfn,wikipedia__sq,name__myv,name__mi,identifier__CONOR,identifier__NKC
Q12378637,Viktor Vassiljev,https://upload.wikimedia.org/wikipedia/commons/2/20/KE_Viktor_Vassiljev.jpg,male,1953-04-09,Viktor,,,,,,,,Viktor Vassiljev,Viktor Vassiljev,,Viktor Vassiljev,Viktor Vassiljev,,,,,,,,,,,,,,,,,,Viktor Vassiljev,,,,,,,,,,,Viktor Vassiljev,Viktor Vassiljev,,,Viktor Vassiljev,,Viktor Vassiljev,Viktor Vassiljev,,,,,,,Category:Viktor Vassiljev,,,,,Viktor Vassiljev,,,,,,,,,,,,,,,,,,,,,Viktor Vassiljev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Viktor Vassiljev,,,,,,,,,,,,,,,,,,,,,,,,,,Viktor Vassiljev,,,,,,,,,,,,,,,,Viktor Vassiljev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Viktor Vassiljev,,,,,,Vassiljev,,politician,,,,,,,Viktor Vassiljev,Viktor Vassiljev,Viktor Vassiljev,100000507924540,,,,,,,,,,bbbcacb7-c34f-48b7-a2ba-1680c93ff810,,,,,,
Q12378980,Väino Linde,https://upload.wikimedia.org/wikipedia/commons/0/0c/RE_Väino_Linde.jpg,male,1959-01-31,Väino,,,,,,,,Väino Linde,Väino Linde,,Väino Linde,,,,,,,,,,,,,,,,,,,Väino Linde,,,,,,,,,,,Väino Linde,,,,,,,,,,,,,,Category:Väino Linde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Väino Linde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linde,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12379326,Yana Toom,https://upload.wikimedia.org/wikipedia/commons/5/53/KE_Yana_Toom.jpg,female,1966-10-15,Jana,,,124700,,,,,Yana Toom,Yana Toom,,Yana Toom,Yana Toom,,yanatoom,,,,,,,,Yana Toom,"Тоом, Яна Игоревна",Yana Toom,,Yana Toom,,,,Yana Toom,,,Yana Toom,,Yana Toom,,,,Yana Toom,,Yana Toom,,,,,,,,,,,,,,Category:Yana Toom,,,Yana Toom,,Yana Toom,,,Yana Toom,,,,,,Yana Toom,,,Yana Toom,,,"Тоом, Яна Игоревна",,,,,,,,,,,,,,,,,Yana Toom,,,,,,,,,,,,,,,,Yana Toom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yana Toom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toom,,politician,,,,,,,,,,yana.toom,,,,,,,,,,,,,,,,
Q12379639,Ülo Tulik,https://upload.wikimedia.org/wikipedia/commons/b/bb/IRL_Ülo_Tulik.jpg,male,1957-05-11,Ülo,,,,,,,,Ülo Tulik,Ülo Tulik,,Ülo Tulik,,,,,,,,,,,,,,,,,,,Ülo Tulik,,,,,,,,,,,Ülo Tulik,Ülo Tulik,,,Ülo Tulik,,Ülo Tulik,Ülo Tulik,,,,,,,Category:Ülo Tulik,,,,,,,,,,,,,,,,,,,,,,,,,,Ülo Tulik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ülo Tulik,,,,,,,,,,,,,,,,,,,,,,,,,,Ülo Tulik,,,,,,,,,,,,,,,,Ülo Tulik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ülo Tulik,,,,,,Tulik,,rural municipality mayor,,,,,,,Ülo Tulik,Ülo Tulik,Ülo Tulik,,,,,,,,,,,,,,,,,
Q13234758,Andres Anvelt,https://upload.wikimedia.org/wikipedia/commons/e/e7/SDE_Andres_Anvelt.jpg,male,1969-09-30,Andres,,,,419144782712140221516,no2015148603,,,Andres Anvelt,Andres Anvelt,,Andres Anvelt,,,andresanvelt,Andres Anvelt,,,,,,,Andres Anvelt,"Анвельт, Андрес",Andres Anvelt,,Andres Anvelt,,,Andres Anvelt,Andres Anvelt,,,Andres Anvelt,,Andres Anvelt,,,,Andres Anvelt,,Andres Anvelt,,,,Andres Anvelt,,,,,,,,,,Category:Andres Anvelt,,,Andres Anvelt,,,,Andres Anvelt,Andres Anvelt,,,,,,,,,Andres Anvelt,,,"Анвельт, Андрес",,,,,,,,アンドレス・アンヴェルト,,,,Andres Anvelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andres Anvelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anvelt,,politician,,,,,,,,,,100000095936669,,,,,,,,,,d29b95db-3b4d-43de-802d-652c32199211,,,,,,
Q13570003,Kadri Simson,https://upload.wikimedia.org/wikipedia/commons/2/2b/KE_Kadri_Simson.jpg,female,1977-01-22,Kadri,,,,,,,,Kadri Simson,Kadri Simson,,Kadri Simson,Kadri Simson,,kadrisimson,,,,,,,,Kadri Simson,,Kadri Simson,,,,,,Kadri Simson,,,,,Kadri Simson,,,,Kadri Simson,,Kadri Simson,,,,Kadri Simson,,,,,,,,,,Category:Kadri Simson,,,Kadri Simson,,,,Kadri Simson,Kadri Simson,,,,,,,,,Kadri Simson,,,,,,,,,,,,,,,Kadri Simson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kadri Simson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simson,,politician,,,,,,,,,,mepkadrisimson,,,,,,,,,,382d928f-8fa4-422b-9538-043ff3033b65,,,,,,
Q13603999,Kaia Iva,https://upload.wikimedia.org/wikipedia/commons/a/aa/Kaia_Iva_2017-05-25.jpg,female,1964-04-28,Kaia,,,,,,,,Kaia Iva,Kaia Iva,,Kaia Iva,Kaia Iva,,KaiaIva,,,,,,,,Kaia Iva,,Kaia Iva,,,,,,Kaia Iva,,,,,Kaia Iva,,,,,,Kaia Iva,,,,Kaia Iva,,,,,,,,,,Category:Kaia Iva,,,Kaia Iva,,,,Kaia Iva,Kaia Iva,,,,,,,,,Kaia Iva,,,,,,,,,,,,,,,Kaia Iva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaia Iva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iva,/g/125_j7xk_,politician,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13605609,Tõnu Juul,https://upload.wikimedia.org/wikipedia/commons/f/f0/RE_Tõnu_Juul.jpg,male,1958-04-21,Tõnu,,,,,,,,Tõnu Juul,Tõnu Juul,,Tõnu Juul,,,,,,,,,,,,,,,,,,,Tõnu Juul,,,,,,,,,,,Tõnu Juul,,,,,,,,,,,,,,Category:Tõnu Juul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tõnu Juul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juul,,physician,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13607430,Urmas Klaas,https://upload.wikimedia.org/wikipedia/commons/c/cd/RE_Urmas_Klaas.jpg,male,1971-03-17,Urmas,,,,,,,,Urmas Klaas,Urmas Klaas,,Urmas Klaas,,,,Urmas Klaas,,,,,,,Urmas Klaas,,Urmas Klaas,,Urmas Klaas,Urmas Klaas,Urmas Klaas,,Urmas Klaas,,,Urmas Klaas,,Urmas Klaas,Urmas Klaas,,Urmas Klaas,Urmas Klaas,Urmas Klaas,Urmas Klaas,Urmas Klaas,Urmas Klaas,,Urmas Klaas,,Urmas Klaas,Urmas Klaas,,,Urmas Klaas,,,,Category:Urmas Klaas,,,,,,,Urmas Klaas,,,,,,,,,,,,,,,,,,,Urmas Klaas,,,,,,,,,,,,Urmas Klaas,Urmas Klaas,Urmas Klaas,Urmas Klaas,Urmas Klaas,Urmas Klaas,Urmas Klaas,Urmas Klaas,Urmas Klaas,Urmas Klaas,Urmas Klaas,Urmas Klaas,Urmas Klaas,Urmas Klaas,Urmas Klaas,Urmas Klaas,Urmas Klaas,Urmas Klaas,Urmas Klaas,Urmas Klaas,Urmas Klaas,Urmas Klaas,Urmas Klaas,Urmas Klaas,Urmas Klaas,Urmas Klaas,Urmas Klaas,Urmas Klaas,Urmas Klaas,Urmas Klaas,Urmas Klaas,Urmas Klaas,Urmas Klaas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urmas Klaas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Klaas,,politician,,Урмас Клаас,,,,,,,,,,,,,,,,,,,,,,,,
Q13608080,Tõnis Kõiv,https://upload.wikimedia.org/wikipedia/commons/b/bc/RE_Tõnis_Kõiv.jpg,male,1970-10-29,Tõnis,,,,,,,,Tõnis Kõiv,Tõnis Kõiv,,Tõnis Kõiv,Tõnis Kõiv,,toniskoiv,,,,,,,,,,,,,,,,Tõnis Kõiv,,,,,,,,,,,Tõnis Kõiv,,,,,,,,,,,,,,Category:Tõnis Kõiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tõnis Kõiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kõiv,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13608089,Aivar Kokk,https://upload.wikimedia.org/wikipedia/commons/2/22/IRL_Aivar_Kokk.jpg,male,1960-04-15,Aivar,,,,,,,,Aivar Kokk,Aivar Kokk,,Aivar Kokk,,,,,,,,,,,,,,,,,,,Aivar Kokk,,,,,,,,,,,Aivar Kokk,,,,,,,,,,,,,,Category:Aivar Kokk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aivar Kokk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokk,,politician,,,,,,,,,,aivar.kokk,,,,,,,,,,2dcb35ed-acbc-4bcf-9e9d-9da681842d6d,,,,,,
Q13628736,Helmen Kütt,https://upload.wikimedia.org/wikipedia/commons/7/7c/SDE_Helmen_Kütt.jpg,female,1961-07-28,Helmen,,,,,,,,Helmen Kütt,Helmen Kütt,,Helmen Kütt,Helmen Kütt,,,,,,,,,,Helmen Kütt,,Helmen Kütt,,,,,,Helmen Kütt,,,Helmen Kütt,,Helmen Kütt,,,,Helmen Kütt,,Helmen Kütt,,,,,,,,,,,,,,Category:Helmen Kütt,,,Helmen Kütt,,,,Helmen Kütt,Helmen Kütt,,Helmen Kütt,,,,,,,Helmen Kütt,,,,,,,,,,,ヘルメン・キュット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Helmen Kütt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kütt,,politician,,,,,,,,,,Helmen.Kytt,,,,,,,,,,1d0b281d-b769-4e94-8c67-faa1cb1b1395,,,,,,
Q13629005,Lauri Laasi,https://upload.wikimedia.org/wikipedia/commons/f/f5/KE_Lauri_Laasi.jpg,male,1974-09-12,Lauri,,,,,,,,Lauri Laasi,Lauri Laasi,,Lauri Laasi,,,laurilaasi,,,,,,,,,,,,,,,,Lauri Laasi,,,,,,,,,,,Lauri Laasi,,,,,,,,,,,,,,Category:Lauri Laasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lauri Laasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laasi,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1375483,Jaanus Tamkivi,https://upload.wikimedia.org/wikipedia/commons/4/4c/Jaanus_Tamkivi.jpg,male,1959-11-17,Jaanus,,,,,,,,Jaanus Tamkivi,Jaanus Tamkivi,/m/02qh69b,Jaanus Tamkivi,Jaanus Tamkivi,,,Jaanus Tamkivi,,,,,,,Jaanus Tamkivi,,Jaanus Tamkivi,,Jaanus Tamkivi,Jaanus Tamkivi,Jaanus Tamkivi,,Jaanus Tamkivi,,,Jaanus Tamkivi,,Jaanus Tamkivi,Jaanus Tamkivi,,Jaanus Tamkivi,Jaanus Tamkivi,Jaanus Tamkivi,Jaanus Tamkivi,Jaanus Tamkivi,Jaanus Tamkivi,Jaanus Tamkivi,Jaanus Tamkivi,,Jaanus Tamkivi,Jaanus Tamkivi,,,,,,,Category:Jaanus Tamkivi,,,Jaanus Tamkivi,,,,Jaanus Tamkivi,Jaanus Tamkivi,,Jaanus Tamkivi,,,,,,,Jaanus Tamkivi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaanus Tamkivi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaanus Tamkivi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tamkivi,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1385792,Ken-Marti Vaher,"https://upload.wikimedia.org/wikipedia/commons/d/d9/Ken-Marti_Vaher,_2011.jpg",male,1974-09-05,Ken-Marti,,,,232728716,,1021288675,,Ken-Marti Vaher,Ken-Marti Vaher,/m/05pd5d,Ken-Marti Vaher,Ken-Marti Vaher,0000 0003 6781 8643,,Ken-Marti Vaher,,,,,,,Ken-Marti Vaher,,Ken-Marti Vaher,,Ken-Marti Vaher,Ken-Marti Vaher,Ken-Marti Vaher,,Ken-Marti Vaher,,,,,Ken-Marti Vaher,Ken-Marti Vaher,,Ken-Marti Vaher,Ken-Marti Vaher,Ken-Marti Vaher,Ken-Marti Vaher,Ken-Marti Vaher,Ken-Marti Vaher,Ken-Marti Vaher,Ken-Marti Vaher,,Ken-Marti Vaher,Ken-Marti Vaher,,,,,,,Category:Ken-Marti Vaher,,,Ken-Marti Vaher,,,,Ken-Marti Vaher,Ken-Marti Vaher,,,,,,,,,Ken-Marti Vaher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ken-Marti Vaher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ken-Marti Vaher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vaher,,politician,,,,,,,,,,vaher.kenmarti,,,,,,,,,,e796fa83-54c6-4aa2-a05a-166f331508fa,,,,,,
Q1398025,Ivari Padar,https://upload.wikimedia.org/wikipedia/commons/a/ad/Ivari_Padar_at_Laulupidu_cropped.jpg,male,1965-03-12,Ivari,,,97025,,,,,Ivari Padar,Ivari Padar,/m/02qh5nc,Ivari Padar,Ivari Padar,,,Ivari Padar,,,,,,,Ivari Padar,"Падар, Ивари",Ivari Padar,,Ivari Padar,Ivari Padar,Ivari Padar,,Ivari Padar,,,Ivari Padar,,Ivari Padar,Ivari Padar,,Ivari Padar,Ivari Padar,Ivari Padar,Ivari Padar,Ivari Padar,Ivari Padar,Ivari Padar,Ivari Padar,,Ivari Padar,Ivari Padar,,,,,,,Category:Ivari Padar,,Ivari Padar,Ivari Padar,,,,,Ivari Padar,,Ivari Padar,,Ivari Padar,,Ivari Padar,,,Ivari Padar,,,"Падар, Ивари",,,,,,,,,,,,Ivari Padar,,,,,,,,,,,,,,,,,,,,,Ivari Padar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ivari Padar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Padar,,politician,,,,,,,,,,ivaripadar,,,,,,,,,,56240b7a-f393-479e-8fa4-8267be56d125,,,,,,
Q1399189,Marko Pomerants,https://upload.wikimedia.org/wikipedia/commons/c/cd/IRL_Marko_Pomerants.jpg,male,1964-09-24,Marko,,,,,,,,Marko Pomerants,Marko Pomerants,/m/02vyr60,Marko Pomerants,Marko Pomerants,,MPomerants,Marko Pomerants,,,,,,,Marko Pomerants,"Померанц, Марко",Marko Pomerants,,Marko Pomerants,Marko Pomerants,Marko Pomerants,,Marko Pomerants,,,,,Marko Pomerants,Marko Pomerants,,Marko Pomerants,Marko Pomerants,Marko Pomerants,Marko Pomerants,Marko Pomerants,Marko Pomerants,Marko Pomerants,Marko Pomerants,,Marko Pomerants,Marko Pomerants,,,Marko Pomerants,,,,Category:Marko Pomerants,,,Marko Pomerants,,,,Marko Pomerants,Marko Pomerants,,,,,,,,,Marko Pomerants,,,"Померанц, Марко",Marko Pomerants,,,,,,,,,,,Marko Pomerants,,,,,,,,,,,,,,,,,,,,,Marko Pomerants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marko Pomerants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pomerants,,politician,,,,,,,,,,100000234181959,,,,,,,,,,85b88dbc-3406-44a0-9aff-49394fd4e9a2,,,,,,
Q1399218,Hanno Pevkur,"https://upload.wikimedia.org/wikipedia/commons/5/58/Hanno_Pevkur,_2011.jpg",male,1977-04-02,Hanno,,,,,,,,Hanno Pevkur,Hanno Pevkur,/m/064k_0x,Hanno Pevkur,Hanno Pevkur,,hpevkur,Hanno Pevkur,,,,,,,Hanno Pevkur,"Певкур, Ханно",Hanno Pevkur,,Hanno Pevkur,Hanno Pevkur,Hanno Pevkur,,Hanno Pevkur,,,Hanno Pevkur,,Hanno Pevkur,Hanno Pevkur,,Hanno Pevkur,Hanno Pevkur,Hanno Pevkur,Hanno Pevkur,Hanno Pevkur,Hanno Pevkur,Hanno Pevkur,Hanno Pevkur,,Hanno Pevkur,Hanno Pevkur,,,Hanno Pevkur,,,,Category:Hanno Pevkur,,,Hanno Pevkur,,,,Hanno Pevkur,Hanno Pevkur,,Hanno Pevkur,,,,,,,Hanno Pevkur,,,"Певкур, Ханно",Hanno Pevkur,,,,Hanno Pevkur,,,ハンノ・ペヴクル,,Hanno Pevkur,Hanno Pevkur,,,,Hanno Pevkur,Hanno Pevkur,,,,,,,,,,,,,,,,,Hanno Pevkur,,,,,,,,,,,,,,,,,,,,,,,,,,,האנו פבקור,,,Χάννο Πέβκουρ,,,,,,,,Χάννο Πέβκουρ,,,,,,,http://www.pevkur.ee/,Hanno Pevkur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,100007049538530,,,,,,,,,,cf42a56a-b91a-4a51-913b-a489305326a2,,,,,,
Q1410118,Jaanus Marrandi,https://upload.wikimedia.org/wikipedia/commons/8/80/RK_Jaanus_Marrandi.jpg,male,1963-03-23,Jaanus,,,,60147095156825082789,,1109822308,,Jaanus Marrandi,Jaanus Marrandi,,Jaanus Marrandi,,,,Jaanus Marrandi,,,,,,,Jaanus Marrandi,,Jaanus Marrandi,,,Jaanus Marrandi,Jaanus Marrandi,,Jaanus Marrandi,,,,,Jaanus Marrandi,Jaanus Marrandi,,Jaanus Marrandi,Jaanus Marrandi,Jaanus Marrandi,Jaanus Marrandi,Jaanus Marrandi,Jaanus Marrandi,Jaanus Marrandi,Jaanus Marrandi,,,,,,,,,,Category:Jaanus Marrandi,,,Jaanus Marrandi,,,,,,,,,,,,,,Jaanus Marrandi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaanus Marrandi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marrandi,,politician,,,,,,,,,,100000899253355,,,,,,,,,,13fe7449-a3ec-4e2e-86aa-256d8ce8475c,,,,,,
Q14188964,Kalev Lillo,https://upload.wikimedia.org/wikipedia/commons/f/fe/RE_Kalev_Lillo.jpg,male,1966-11-30,Kalev,,,,,,,,Kalev Lillo,Kalev Lillo,,Kalev Lillo,,,,,,,,,,,,,,,,,,,Kalev Lillo,,,,,,,,,,,Kalev Lillo,,,,,,,,,,,,,,Category:Kalev Lillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kalev Lillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lillo,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14191221,Lauri Luik,https://upload.wikimedia.org/wikipedia/commons/c/c6/RE_Lauri_Luik.jpg,male,1982-04-23,Lauri,,,,,,,,Lauri Luik,Lauri Luik,,Lauri Luik,,,lauriluik,,,,,,,,,Лаури Луйк,Lauri Luik,,,,,,Lauri Luik,,,,,,,,,,,Lauri Luik,,,,,,,,,,,,,,Category:Lauri Luik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lauri Luik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luik,,politician,,,,,,,,,,669865682,,,,,,,,,,0c8c32b6-5add-4058-acb8-c76822d1d06b,,,,,,
Q14483307,Heljo Pikhof,https://upload.wikimedia.org/wikipedia/commons/1/1b/SDE_Heljo_Pikhof.jpg,female,1958-10-20,Heljo,,,,,,,,Heljo Pikhof,Heljo Pikhof,,Heljo Pikhof,,,,,,,,,,,,,,,,,,,Heljo Pikhof,,,,,,,,,,,Heljo Pikhof,,,,,,,,,,,,,,Category:Heljo Pikhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heljo Pikhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pikhof,,politician,,,,,,,,,,100006155179175,,,,,,,,,,b5922bb2-56bb-4de6-a7e1-754553191c27,,,,,,
